"","P.Length","P.Width","Species","P.Area"
"109",5.8,1.8,"virginica",10.44
"110",6.1,2.5,"virginica",15.25
"111",5.1,2,"virginica",10.2
"112",5.3,1.9,"virginica",10.07
"113",5.5,2.1,"virginica",11.55
"114",5,2,"virginica",10
"115",5.1,2.4,"virginica",12.24
"116",5.3,2.3,"virginica",12.19
"117",5.5,1.8,"virginica",9.9
"118",6.7,2.2,"virginica",14.74
"119",6.9,2.3,"virginica",15.87
"120",5,1.5,"virginica",7.5
"121",5.7,2.3,"virginica",13.11
"122",4.9,2,"virginica",9.8
"123",6.7,2,"virginica",13.4
"124",4.9,1.8,"virginica",8.82
"125",5.7,2.1,"virginica",11.97
"126",6,1.8,"virginica",10.8
"127",4.8,1.8,"virginica",8.64
"128",4.9,1.8,"virginica",8.82
"129",5.6,2.1,"virginica",11.76
"130",5.8,1.6,"virginica",9.28
"131",6.1,1.9,"virginica",11.59
"132",6.4,2,"virginica",12.8
"133",5.6,2.2,"virginica",12.32
"134",5.1,1.5,"virginica",7.65
"135",5.6,1.4,"virginica",7.84
"136",6.1,2.3,"virginica",14.03
"137",5.6,2.4,"virginica",13.44
"138",5.5,1.8,"virginica",9.9
"139",4.8,1.8,"virginica",8.64
"140",5.4,2.1,"virginica",11.34
"141",5.6,2.4,"virginica",13.44
"142",5.1,2.3,"virginica",11.73
"143",5.1,1.9,"virginica",9.69
"144",5.9,2.3,"virginica",13.57
"145",5.7,2.5,"virginica",14.25
"146",5.2,2.3,"virginica",11.96
"147",5,1.9,"virginica",9.5
"148",5.2,2,"virginica",10.4
"149",5.4,2.3,"virginica",12.42
"150",5.1,1.8,"virginica",9.18
